desc,damageTypes,rangeAdjustment,meleeCapable,magicResourceClass
Radiance,Radiant,0,TRUE,Light
Blessing,Radiant,0,TRUE,Light
Polycraft,"Slash, Bludgeon, Hew, Pierce",0,TRUE,Ichor
Blazecraft,Fire,0,TRUE,Ichor
Hydrocraft,"Water, Slash, Bludgeon, Pierce",0,TRUE,Ichor
Electrocraft,Electric,0,TRUE,Ichor
Terracraft,"Slash, Bludgeon, Hew, Pierce",0,TRUE,Ichor
Galecraft,"Slash, Bludgeon, Shockwave",0,TRUE,Ichor
Cryocraft,Cold,0,TRUE,Ichor
Naturecraft,"Slash, Bludgeon, Hew, Pierce",0,TRUE,Ichor
Toxincraft,Poison,0,TRUE,Ichor
Soulcraft,Spiritual,0,TRUE,Ichor
Shadowcraft,Necrotic,0,TRUE,Ichor
Mindcraft,Psychic,0,FALSE,Ichor
Ferracraft,"Slash, Bludgeon, Hew, Pierce",0,TRUE,Ichor
Sonocraft,Shockwave,0,FALSE,Ichor
Hemacraft,Bleed,0,TRUE,Ichor
Spidercraft,Bludgeon,0,TRUE,Ichor
Plasmacraft,Fire,0,TRUE,Ichor
Stormcraft,"Electric, Shockwave",0,TRUE,Ichor
Magmacraft,"Fire, Bludgeon",0,TRUE,Ichor
Blizzardcraft,"Cold, Slash, Bludgeon, Pierce",0,TRUE,Ichor